app_id,app_title,review_id,review_publish_time,review_score,review_author_user_id,review_author_user_name,device,review_played_spent,up_rating_aspects,down_rating_aspects,review_content_raw_text,comments,review_up_votes,review_down_votes
776320,星布谷地,46440817,2025-09-25 06:52:16,5,109413624,四喜丸子,iQOO 9,,[],[],"人的脸有点过于卡通了，也不怎么灵动，有种标准宝宝图画的感觉…跑起来的时候也感觉有点僵硬。
种地最怕单一循环的事，希望可以多增加些玩法！😭
",2.0,12.0,
776320,星布谷地,46440697,2025-09-25 06:40:05,3,110436939,貌似普通の普通玩家,Vivo V2220A,,[],[],看宣传片感觉不太行，建模和画质偏低龄向，自由度感觉也不高，而且日常内容感觉会很单调。,,3.0,
776320,星布谷地,46440692,2025-09-25 06:39:27,5,65208996,苏,Android 设备,,[],[],"我都不用玩就知道一定不好玩，各种充钱页面，每周一个氪金活动，结婚礼服系统满屏幕，聊天界面全是广告，宝石镶嵌都要钱，必有烂大街的翅膀搭配坐骑一起逼氪，每天金币宝石副本，中午十二点和晚上六点必有活动，每天任务做完要八小时跟上班一样，公式系统游戏一点不改，你游永远是这样，永远不改，永远不思进取，永远抄袭恰烂钱，玩十几年没见长进，钱不去改进游戏，都是用来宣发买水带别人节奏，看看你们运营的游戏，有活过两年的？就这还去碰瓷别人全球运营六年，获国际奖数次，ip比你命都贵的游戏，真是招笑，你游我是永远不会再碰的。
说的是谁大家心里都有数😒
",3.0,15.0,5.0
776320,星布谷地,46440676,2025-09-25 06:38:01,5,661661736,心动小镇薯条宝宝,Vivo S17,,[],[],感觉这个游戏不错，我预约了，我想问一下，这个游戏什么时候才上线，什么时候才可以下载玩这个游戏？,2.0,9.0,1.0
776320,星布谷地,46440497,2025-09-25 06:19:08,5,740699502,小宝贝,华为P30 Pro,,[],[],种族和星球是抽卡抽的，一种种族配套星球，90抽有50%几率出现当期种族，180抽必出当期种族，星球同理😃,1.0,31.0,3.0
776320,星布谷地,46440203,2025-09-25 05:42:13,5,46494906,让我玩星布谷地吧！,Android 设备,,[],[],"种田游戏快点端上来吧，我什么都会做的！
我现在就要玩星布谷地！😽😽
画风太戳我了，可以多加点动作么，可以和好友互动",,20.0,4.0
776320,星布谷地,46440109,2025-09-25 05:32:43,5,484029836,泯,Android 设备,,[],[],米哈游出品必属精品，给我狠狠拷打心动小镇。按米国服第一的技术力，pv是完全可以实现的，就pv来说不知道比小镇好多少，狠狠期待了,17.0,21.0,7.0
776320,星布谷地,46440067,2025-09-25 05:27:49,5,116317049,早点睡觉,PC 客户端,,[],[],期待,,,
776320,星布谷地,46440060,2025-09-25 05:27:11,5,110318580,清欢,一加手机Ace 3 Pro,,[],[],技术力这块没的说，吊打无限大,,,1.0
776320,星布谷地,46440043,2025-09-25 05:25:36,5,452424399,Given.,Android 设备,,[],[],"期待米哈游两款新作，期待星布谷地，等明年618换个IQOO15 ultra,不中就换IQOO15标准版顶配，把米家全家桶全下下来变着花玩儿😛",,14.0,3.0
